id,rule_name,package_name,session_type,price,sessions,sessions_per_pack,unit_price,coach_percentage,bgm_percentage,management_percentage,mfc_percentage,pricing_type,per_week,fixed_rate,match_offering_patterns,allow_late_payment_window_days,is_fixed_rate,allow_discounts,notes,created_at,updated_at,attendance_alias,payment_memo_alias
37,1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),private,32.71,1,1,32.71,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:28:00.757Z,2025-09-11T19:28:00.757Z,1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG)
38,1 to 1 Private Combat Sessions: 5 PACK,1 to 1 Private Combat Sessions: 5 PACK,private,154.21,5,5,30.84,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:28:06.983Z,2025-09-11T19:28:06.983Z,1 to 1 Private Combat Sessions: 5 PACK,1 to 1 Private Combat Sessions: 5 PACK
39,1 to 1 Private Combat Sessions: 10 PACK,1 to 1 Private Combat Sessions: 10 PACK,private,289.72,10,10,28.97,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:28:22.683Z,2025-09-11T19:28:22.683Z,1 to 1 Private Combat Sessions: 10 PACK,1 to 1 Private Combat Sessions: 10 PACK
40,2 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),2 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),private,46.73,1,1,46.73,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:31:50.387Z,2025-09-11T19:31:50.387Z,2 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),2 to 1 Private Combat Sessions: SINGLE SESSION (PAYG)
41,2 to 1 Private Combat Sessions: 5 PACK,2 to 1 Private Combat Sessions: 5 PACK,private,224.3,5,5,44.86,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:31:46.627Z,2025-09-11T19:31:46.627Z,2 to 1 Private Combat Sessions: 5 PACK,2 to 1 Private Combat Sessions: 5 PACK
42,2 to 1 Private Combat Sessions: 10 PACK,2 to 1 Private Combat Sessions: 10 PACK,private,420.56,10,10,42.06,80,15,0,5,payg,,0,,,FALSE,TRUE,,,,2 to 1 Private Combat Sessions: 10 PACK,2 to 1 Private Combat Sessions: 10 PACK
43,Group (3) Private Combat Session,Group (3) Private Combat Session,private,70.09,1,1,70.09,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:31:53.763Z,2025-09-11T19:31:53.763Z,Group (3) Private Combat Session,Group (3) Private Combat Session
44,Group (4) Private Combat Session,Group (4) Private Combat Session,private,84.11,1,1,84.11,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:31:58.032Z,2025-09-11T19:31:58.032Z,Group (4) Private Combat Session,Group (4) Private Combat Session
45,Private Client Special Pricing,Private Client Special Pricing,private,32.71,1,1,32.71,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:35:28.897Z,2025-09-11T19:35:28.897Z,Private Client Special Pricing,Private Client Special Pricing
46,Single Session - Small Studio,Single Session - Small Studio,group,20,1,1,20,0,30,8.5,61.5,studio,,0,,,FALSE,TRUE,studio hire,,,Single Session - Small Studio,Single Session - Small Studio
47,Single Session - Big Studio,Single Session - Big Studio,group,25,1,1,25,0,30,8.5,61.5,studio,,0,,,FALSE,TRUE,studio hire,,,Single Session - Big Studio,Single Session - Big Studio
48,10 Sessions - Big Studio,10 Sessions - Big Studio,group,200,10,10,20,0,30,8.5,61.5,,0,0,,,,TRUE,studio hire,2025-09-11T14:02:12.843Z,2025-09-11T14:02:12.843Z,10 Sessions - Big Studio,10 Sessions - Big Studio
49,Junior Pay Monthly - 3x Week,Junior Pay Monthly - 3x Week,group,67.76,0,0,5.25,43.5,30,8.5,18,,0,0,,,,TRUE,unit_price=price/(4.3*3),2025-09-11T07:58:40.952Z,2025-09-11T07:58:40.952Z,Junior Pay Monthly - 3x Week,Junior Pay Monthly - 3x Week
50,Junior Pay Monthly - 4x Week,Junior Pay Monthly - 4x Week,group,84.11,0,0,5.23,43.5,30,8.5,18,,0,0,,,,TRUE,unit_price=price/(4.3*4),2025-09-11T07:58:54.308Z,2025-09-11T07:58:54.308Z,Junior Pay Monthly - 4x Week,Junior Pay Monthly - 4x Week
51,Junior Pay Monthly - 2x Week,Junior Pay Monthly - 2x Week,group,56.07,0,0,6.52,43.5,30,8.5,18,,0,0,,,,TRUE,unit_price=price/(4.3*2),2025-09-11T07:59:09.415Z,2025-09-11T07:59:09.415Z,Junior Pay Monthly - 2x Week,Junior Pay Monthly - 2x Week
54,Adult Pay Monthly - 2 x Week,Adult Pay Monthly - 2 x Week,group,65.42,0,0,7.61,43.5,30,8.5,18,,0,0,,,,TRUE,unit_price=price/(4.3*2),2025-09-11T11:11:50.204Z,2025-09-11T11:11:50.204Z,Adult Pay Monthly - 2 x Week,Adult Pay Monthly - 2 x Week
55,Adult Pay Monthly - 3 x Week,Adult Pay Monthly - 3 x Week,group,84.11,3,3,20,43.5,30,8.5,18,,0,0,,,,TRUE,unit_price=price/(4.3*3),2025-09-11T11:41:39.717Z,2025-09-11T11:41:39.717Z,Adult Pay Monthly - 3 x Week,Adult Pay Monthly - 3 x Week
56,10 Sessions - Big Studio,10 Sessions - Big Studio,group,200,10,10,15,0,30,8.5,61.5,,0,0,,,,TRUE,studio hire,2025-09-11T13:44:56.110Z,2025-09-11T13:44:56.110Z,10 Sessions - Big Studio,10 Sessions - Big Studio
57,65€ One Month Unlimited Plan,65€ One Month Unlimited Plan,group,60.75,11,11,11,0,0,0,0,,0,0,,,,TRUE,"fixed per attendance: coach=2.28, mgmt=0.45, bgm=1.57",2025-09-11T13:45:32.564Z,2025-09-11T13:45:32.564Z,65€ One Month Unlimited Plan,65€ One Month Unlimited Plan
58,Single Class,Single Class,group,0,0,0,37.5,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T16:18:47.408Z,2025-09-11T16:18:47.408Z,Single Class,Single Class
59,First ?Warrior flow | Yoga & Mobility Class FREE,First ?Warrior flow | Yoga & Mobility Class FREE,group,0,1,1,0,0,0,0,0,,0,0,,,,,,2025-09-11T16:21:21.811Z,2025-09-11T16:21:21.811Z,First ?Warrior flow | Yoga & Mobility Class FREE,First ?Warrior flow | Yoga & Mobility Class FREE
60,First ?No-Gi BJJ Week FREE,First ?No-Gi BJJ Week FREE,group,0,1,1,0,0,0,0,0,,0,0,,,,,,2025-09-11T16:22:09.571Z,2025-09-11T16:22:09.571Z,First ?No-Gi BJJ Week FREE,First ?No-Gi BJJ Week FREE
61,Mattia Special,Mattia Special,private,100,2,2,50,80,15,0,5,,0,0,,,,,,2025-09-12T18:18:15.415Z,2025-09-12T18:18:15.415Z,Mattia Special,Mattia Special
